date	@avg := avg(stringency_index)	@stddv := stddev(stringency_index)
2020-12-17	44.081255605381145	27.11732317837944
2020-12-18	44.25560538116589	27.133819158428526
2020-12-19	44.236905829596395	27.164886195153034
2020-12-20	44.34493273542599	27.24916581386538
2020-12-21	44.677174887892356	27.452937791136897
2020-12-22	44.77887892376678	27.56415011185593
2020-12-23	44.97605381165918	27.769587950145603
2020-12-24	45.05484304932734	27.737243888280737
2020-12-25	45.11713004484303	27.753066906290943
2020-12-26	45.231345291479805	27.917522118546238
2020-12-27	45.314439461883396	28.012318775159144
2020-12-28	45.25206278026906	27.9772235719391
2020-12-29	45.08381165919282	27.902295729848422
2020-12-30	45.166816143497755	27.966125268059525
2020-12-31	45.46995515695067	28.222976002495752
2021-01-01	45.4409865470852	28.222489043597175
2021-01-02	45.47206278026905	28.240556995605942
2021-01-03	45.58215246636771	28.271930807783054
2021-01-04	45.594484304932735	28.283762230297036
2021-01-05	45.65260089686098	28.34210494155024
2021-01-06	45.864394618834076	28.34385218124168
2021-01-07	46.0636322869955	28.420513478085876
2021-01-08	46.14668161434977	28.460548821351495
2021-01-09	46.204798206278014	28.550769410436015
2021-01-10	46.22968609865469	28.59922518299028
2021-01-11	45.903856502242135	28.334219252400203
2021-01-12	45.706547085201784	28.387441583328474
2021-01-13	45.78134529147981	28.41971097990306
2021-01-14	45.74848214285713	28.687623131071632
2021-01-15	45.85183035714284	28.746828827401743
2021-01-16	45.89316964285713	28.806481975288992
2021-01-17	45.90142857142856	28.807923400303515
2021-01-18	45.8124107142857	28.873628484605614
2021-01-19	45.89928571428569	28.791060700771517
2021-01-20	45.969508928571415	28.816957963614165
2021-01-21	45.75697777777775	28.88573946853275
2021-01-22	45.83515555555553	28.983808876264053
2021-01-23	45.8434222222222	29.104919436402955
2021-01-24	45.61601769911503	29.191070978113224
2021-01-25	45.54234513274334	29.007491179010163
2021-01-26	45.589601769911496	28.976020270671548
2021-01-27	45.6346017699115	29.010338393251622
2021-01-28	45.59774336283185	29.019473531107213
2021-01-29	45.57730088495574	29.078586475056593
2021-01-30	45.62238938053096	29.101485905387715
2021-01-31	45.71663716814158	29.180938274888735
2021-02-01	45.21252212389378	29.017389176360137
2021-02-02	45.07323008849555	28.904215430539253
2021-02-03	45.22893805309731	28.982448346311344
2021-02-04	45.15730088495572	29.007707707290358
2021-02-05	45.13274336283182	28.994759878960235
2021-02-06	45.210530973451284	29.068998306613967
2021-02-07	45.112212389380495	28.97417915898899
2021-02-08	44.88486725663715	28.70240294325359
2021-02-09	44.87659292035397	28.757678872677133
2021-02-10	44.87247787610619	28.799184109355508
2021-02-11	44.79057522123893	28.747974136028382
2021-02-12	44.92986725663715	28.827138784717317
2021-02-13	45.04053097345131	28.7936473862997
2021-02-14	45.01597345132742	28.786246211603345
2021-02-15	45.00579646017697	28.679517042952074
2021-02-16	44.999557522123844	28.62900456633238
2021-02-17	44.92579646017694	28.647028024406616
2021-02-18	44.786460176991106	28.57588521442926
2021-02-19	44.823318584070755	28.629711407385603
2021-02-20	44.7905309734513	28.619806723425107
2021-02-21	44.82743362831855	28.6430037104234
2021-02-22	44.647123893805286	28.498906905798307
2021-02-23	44.876415929203525	28.70000995936606
2021-02-24	44.847787610619456	28.63034284441106
2021-02-25	44.83960176991149	28.655752628241512
2021-02-26	44.97070796460176	28.775515609869263
2021-02-27	44.993230088495565	28.787051257423048
2021-02-28	45.14581497797355	28.65555335344614
2021-03-01	45.02145374449337	28.25117873025374
2021-03-02	44.57286343612336	28.19538069758574
2021-03-03	44.6544933920705	28.19760789185217
2021-03-04	44.642246696035265	28.190896455593208
2021-03-05	44.70348017621147	28.2819831933853
2021-03-06	44.670881057268744	28.27548045247776
2021-03-07	44.55669603524231	28.254126190577328
2021-03-08	44.4954625550661	28.0897967763354
2021-03-09	44.4873127753304	28.005524538438788
2021-03-10	44.94409691629956	28.120112081561732
2021-03-11	45.12352422907489	28.194133827685963
2021-03-12	45.09295154185021	28.2831111419854
2021-03-13	45.127665198237885	28.323001491569215
2021-03-14	44.929736842105264	28.417721489725214
2021-03-15	44.716491228070176	28.20161877842489
2021-03-16	44.62526315789476	28.1536402934479
2021-03-17	44.85872807017547	28.395726909440587
