date	stringency_avg	stringency_stddv
2020-06-24	62.248333333333356	19.0470817391478
2020-06-25	62.20733333333335	18.961754946910023
2020-06-26	61.8523888888889	19.30883066152459
2020-06-27	61.633666666666684	19.397723088032777
2020-06-28	61.58733333333336	19.394786143589094
2020-06-29	61.487000000000016	19.448352483779534
2020-06-30	61.365944444444466	19.431594710597324
2020-07-01	60.20094444444447	19.706204598135592
2020-07-02	60.28833333333336	19.682891965133354
2020-07-03	60.1237777777778	19.64560463014439
2020-07-04	60.18288888888891	19.609458615930137
2020-07-05	60.13400000000002	19.69767935005994
2020-07-06	60.020833333333364	19.613481867639468
2020-07-07	59.892277777777814	19.442535152213605
2020-07-08	59.76877777777779	19.32733940577887
2020-07-09	59.79177777777779	19.23245489488928
2020-07-10	59.61677777777778	19.36242749518182
2020-07-11	59.6193888888889	19.337588875437188
2020-07-12	59.609111111111105	19.36956989968454
2020-07-13	59.354555555555564	19.507153141639044
2020-07-14	59.23622222222223	19.508693479675937
2020-07-15	59.38805555555556	19.439960908088896
2020-07-16	59.32111111111111	19.524420602838468
2020-07-17	59.09233333333333	19.57228230318466
2020-07-18	59.0306111111111	19.54424129916218
2020-07-19	59.16438888888888	19.466246033237717
2020-07-20	58.8557222222222	19.572346734630916
2020-07-21	58.536722222222195	19.50293914688973
2020-07-22	58.099388888888875	19.53142050258417
2020-07-23	58.135388888888876	19.51234977489012
2020-07-24	58.26144444444442	19.64082825596331
2020-07-25	58.28199999999998	19.783249856605686
2020-07-26	58.204833333333305	19.753062195096064
2020-07-27	58.011888888888876	19.633060376961918
2020-07-28	57.988777777777756	19.516728341933735
2020-07-29	57.906444444444425	19.437405365892456
2020-07-30	58.02472222222221	19.398147976619814
2020-07-31	58.263999999999974	19.503769510305215
2020-08-01	58.06077777777774	19.214525421483604
2020-08-02	58.06072222222218	19.237815971863437
2020-08-03	58.117333333333285	19.2237061578782
2020-08-04	58.24588888888884	19.18495862761267
2020-08-05	58.279388888888846	19.132940215586576
2020-08-06	58.5854444444444	19.161913303977133
2020-08-07	58.816888888888855	19.31159482708334
2020-08-08	58.983944444444425	19.398215424713186
2020-08-09	58.98394444444444	19.373103649052048
2020-08-10	58.752499999999976	19.327059668161283
2020-08-11	58.73194444444442	19.816546483998398
2020-08-12	58.91972222222219	19.5940311328208
2020-08-13	59.00716666666665	19.556466741634758
2020-08-14	58.886277777777764	19.510950601323454
2020-08-15	58.59299999999999	19.510209916861484
2020-08-16	58.56205555555554	19.53703428242038
2020-08-17	58.56983333333332	19.635189116453372
2020-08-18	58.541555555555526	19.620743043530407
2020-08-19	58.50038888888885	19.5872172989282
2020-08-20	58.49533333333329	19.681087097346357
2020-08-21	58.670222222222186	19.49348153031776
2020-08-22	58.65477777777774	19.452248869005572
2020-08-23	58.63938888888885	19.4625398069639
2020-08-24	58.54172222222219	19.32040144598322
2020-08-25	58.55199999999995	19.36430018243767
2020-08-26	58.46966666666662	19.559987499996012
2020-08-27	58.29988888888884	19.41570346649241
2020-08-28	58.23049999999995	19.5382379870573
2020-08-29	58.28188888888884	19.502575294016054
2020-08-30	58.322999999999944	19.44192388456794
2020-08-31	58.07116666666661	19.381569575100063
2020-09-01	57.32794444444438	19.206407833996508
2020-09-02	57.08866666666659	19.144203195745696
2020-09-03	57.091277777777705	19.10305670801158
2020-09-04	57.078388888888824	19.13791806754007
2020-09-05	57.05272222222217	19.201664911337353
2020-09-06	56.996166666666625	19.261833484755403
2020-09-07	56.52283333333329	19.33722924180194
2020-09-08	56.54605555555551	19.316917729090967
2020-09-09	56.57949999999997	19.31260372212348
2020-09-10	56.3762222222222	19.265490453011097
2020-09-11	56.2655555555555	19.1470024698449
2020-09-12	56.29383333333329	19.170691237610022
2020-09-13	56.26299999999996	19.180039013400247
2020-09-14	56.08022222222218	19.14075488919899
2020-09-15	55.98505555555552	18.998001225193907
2020-09-16	55.94644444444442	18.891467522027035
2020-09-17	55.9568333333333	19.125620207082324
2020-09-18	55.96199999999996	19.155193911254923
2020-09-19	55.841111111111076	19.05761603048587
2020-09-20	55.63533333333331	18.947188222941037
2020-09-21	55.501666666666665	18.73053936756761
2020-09-22	55.365333333333325	18.586093110471367
2020-09-23	55.293388888888884	18.533424644975568
2020-09-24	55.17766666666665	18.548585184140954
2020-09-25	55.14172222222222	18.470307788765414
2020-09-26	54.997833333333325	18.382185980363342
2020-09-27	54.977277777777765	18.374298016237418
2020-09-28	54.8717222222222	18.40711836432838
2020-09-29	54.84344444444442	18.229931959470214
2020-09-30	54.714777777777755	18.258818918099568
2020-10-01	54.336722222222186	18.026328578885682
